0, 1, 2, 3, 4, 5, 6, 7, 8, 9, feasibility
0.144149, 0.282323, 0.129209, 0.129208, -0.163728, 0.386655, 0.448141, 0.448142, 0.386217, 0.304794, no
0.129199, 0.129203, 0.215615, 0.242625, 0.448151, 0.448147, 0.443763, -0.411971, 0.428282, 0.222876, no
0.281035, 0.143324, 0.328457, 0.0966558, -0.296315, 0.434026, 0.37334, -0.480694, 0.304044, 0.273306, no
0.269231, 0.161967, 0.236052, 0.189349, -0.308119, 0.415384, 0.459324, -0.388002, 0.324594, 0.252756, no
0.129194, 0.129192, 0.328384, -0.344118, 0.448156, 0.448159, 0.342522, 0.42127, 0.438438, 0.243328, no
0.107987, 0.32254, 0.478146, -0.34641, -0.491556, 0.417859, 0.291655, 0.46188, 0.274214, 0.45841, no
0.34641, 0.248817, 0.400981, -0.395435, -0.46188, 0.520983, 0.406156, 0.411579, 0.386914, 0.420665, no
0.248817, 0.248817, 0.371377, -0.368356, -0.520983, 0.520983, 0.426069, 0.428656, 0.323458, 0.475775, no
0.11748, 0.299782, 0.399644, -0.373871, -0.53819, 0.470018, 0.370157, 0.421847, 0.282967, 0.503252, no
0.126149, 0.287483, 0.37666, -0.374861, -0.5353, 0.482318, 0.39314, 0.416192, 0.286385, 0.501315, no
8.70152e-10, 0.46188, 0.447815, -0.335335, -0.57735, 0.34641, 0.338665, 0.456363, 0.273114, 0.507161, no
0.34641, 0.248817, 0.387871, -0.409415, -0.46188, 0.520983, 0.419418, 0.397741, 0.233248, 0.522161, no
0.248817, 0.248817, 0.34788, -0.392597, -0.520983, 0.520983, 0.450877, 0.406817, 0.247146, 0.516771, no
0.13784, 0.285117, 0.308088, -0.400697, -0.557704, 0.499835, 0.471632, 0.379957, 0.185756, 0.539291, no
0.0420756, 0.35687, 0.379896, -0.399636, -0.573424, 0.426734, 0.416683, 0.416683, 0.142085, 0.548019, no
0.053863, 0.359469, 0.374959, -0.408055, -0.568373, 0.449558, 0.437387, 0.400236, 0.143698, 0.559182, no
0.0646382, 0.352499, 0.356271, -0.413504, -0.57322, 0.45725, 0.453477, 0.397435, 0.131544, 0.561418, no
0.041098, 0.371982, 0.373135, -0.412985, -0.575524, 0.440671, 0.439739, 0.402935, 0.119302, 0.564569, yes
0.0537689, 0.360696, 0.359837, -0.414882, -0.574304, 0.44999, 0.451498, 0.400458, 0.123975, 0.562747, no
0.0319191, 0.380216, 0.379904, -0.412197, -0.57602, 0.434119, 0.434213, 0.403629, 0.113814, 0.565299, yes
0.030012, 0.381443, 0.382441, -0.411487, -0.576566, 0.432292, 0.432356, 0.400838, 0.110622, 0.56613, no
0.0106591, 0.3911, 0.38751, -0.416875, -0.577252, 0.424705, 0.427526, 0.391415, 0.08206, 0.571489, no
0.0712059, 0.341062, 0.359626, -0.412463, -0.571577, 0.461194, 0.449435, 0.399208, 0.142501, 0.559488, no
0.0654931, 0.349285, 0.355565, -0.415442, -0.572911, 0.459429, 0.454134, 0.399615, 0.132514, 0.561937, no
0.0542594, 0.364936, 0.389977, -0.404252, -0.574114, 0.447387, 0.425016, 0.412206, 0.143195, 0.559311, no
0.0544418, 0.359726, 0.361967, -0.41457, -0.574095, 0.451138, 0.449345, 0.401251, 0.126559, 0.563163, yes
0.0411868, 0.369147, 0.361855, -0.414604, -0.575879, 0.443919, 0.449604, 0.401424, 0.114349, 0.557648, no
0.0543629, 0.359854, 0.359841, -0.414882, -0.573973, 0.450801, 0.451495, 0.400458, 0.124876, 0.561989, no
0.125453, 0.293116, 0.29503, -0.417761, -0.560313, 0.497409, 0.492921, 0.393835, 0.166413, 0.549841, no
0.0646382, 0.352499, 0.357632, -0.409509, -0.573219, 0.457251, 0.450888, 0.400239, 0.140969, 0.559689, no
0.101697, 0.317807, 0.319557, -0.41819, -0.568111, 0.482008, 0.480838, 0.396228, 0.150284, 0.557325, no
0.0885494, 0.328878, 0.330359, -0.417691, -0.569809, 0.474218, 0.473175, 0.398369, 0.144643, 0.558848, yes
